benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,57139743167,136453916874,193593660041,18474651244.000,18474.651244,40.000,45.00,47.00,45.00,47.00,269.215972,269215.972,200.060485,200060.485,4.786987,4786.987,,,474.063444,474063.444
crc32,57139816742,193637605222,250777421964,18474674931.000,18474.674931,10.000,45.00,47.00,45.00,47.00,268.429916,268429.916,199.491760,199491.760,4.787429,4787.429,,,472.709105,472709.105
crc32,57139809040,250821367381,307961176421,18474672450.000,18474.672450,10.000,44.00,46.00,45.00,46.00,267.889511,267889.511,199.150146,199150.146,4.787292,4787.292,,,471.826949,471826.949
crc32,57140034128,307974181121,365114215249,18474744640.000,18474.744640,0.000,45.00,46.00,45.00,46.00,267.511001,267511.001,198.933776,198933.776,4.787765,4787.765,,,471.232542,471232.542
crc32,57139928533,365158158595,422298087128,18474711072.000,18474.711072,10.000,43.00,46.00,45.00,46.00,267.273971,267273.971,198.758224,198758.224,4.787582,4787.582,,,470.819777,470819.777
crc32,57139908644,422311086568,479450995212,18474704079.000,18474.704079,0.000,45.00,46.00,45.00,46.00,266.949081,266949.081,198.634506,198634.506,4.787536,4787.536,,,470.371123,470371.123
crc32,57140402496,479463993584,536604396080,18474863754.000,18474.863754,0.000,45.00,45.00,45.00,45.00,266.669876,266669.876,198.383148,198383.148,4.788009,4788.009,,,469.841033,469841.033
crc32,57139267104,536617399532,593756666636,18474496644.000,18474.496644,0.000,45.00,45.00,45.00,45.00,266.348022,266348.022,198.116775,198116.775,4.787765,4787.765,,,469.252562,469252.562
crc32,57139718884,593769661324,650909380208,18474642722.000,18474.642722,0.000,45.00,45.00,45.00,45.00,266.380172,266380.172,198.167114,198167.114,4.787902,4787.902,,,469.335188,469335.188
crc32,57139660228,650922379980,708062040208,18474623761.000,18474.623761,0.000,44.00,45.00,44.00,45.00,266.156372,266156.372,197.958068,197958.068,4.786849,4786.849,,,468.901289,468901.289
crc32,57139965716,708075835992,765215801708,18474722520.000,18474.722520,0.000,44.00,45.00,45.00,45.00,266.195251,266195.251,198.029663,198029.663,4.787033,4787.033,,,469.011947,469011.947
crc32,57139890888,765230402900,822370293788,18474698333.000,18474.698333,0.000,44.00,45.00,44.00,45.00,265.950729,265950.729,197.919326,197919.326,4.787673,4787.673,,,468.657728,468657.728
crc32,57139606524,822384895372,879524501896,18474606396.000,18474.606396,0.000,44.00,44.00,44.00,44.00,265.920455,265920.455,197.910125,197910.125,4.786895,4786.895,,,468.617475,468617.475
crc32,57139971184,879539100900,936679072084,18474724290.000,18474.724290,0.000,44.00,45.00,44.00,45.00,265.811553,265811.553,197.826202,197826.202,4.787475,4787.475,,,468.425230,468425.230
crc32,57139629204,936693665456,993833294660,18474613721.000,18474.613721,0.000,44.00,44.00,44.00,44.00,265.730987,265730.987,197.688583,197688.583,4.788345,4788.345,,,468.207915,468207.915
crc32,57140158592,993847893216,1050988051808,18474784892.000,18474.784892,0.000,44.00,45.00,44.00,45.00,265.824249,265824.249,197.761657,197761.657,4.788223,4788.223,,,468.374129,468374.129
crc32,57139768444,1051002647656,1108142416100,18474658737.000,18474.658737,0.000,44.00,44.00,44.00,44.00,265.767181,265767.181,197.732101,197732.101,4.788345,4788.345,,,468.287627,468287.627
crc32,57139785520,1108157014372,1165296799892,18474664265.000,18474.664265,0.000,44.00,44.00,44.00,44.00,265.749176,265749.176,197.740081,197740.081,4.787994,4787.994,,,468.277251,468277.251
crc32,57139932720,1165311396256,1222451328976,18474711864.000,18474.711864,0.000,44.00,45.00,44.00,45.00,265.760131,265760.131,197.828369,197828.369,4.787399,4787.399,,,468.375899,468375.899
crc32,57139906844,1222465925712,1279605832556,18474703496.000,18474.703496,0.000,43.00,44.00,43.00,44.00,265.621200,265621.200,197.700378,197700.378,4.787673,4787.673,,,468.109251,468109.251
crc32,57139778492,1279620426268,1336760204760,18474661990.000,18474.661990,0.000,44.00,45.00,44.00,45.00,265.680526,265680.526,197.715713,197715.713,4.788070,4788.070,,,468.184309,468184.309
crc32,57139746948,1336774801272,1393914548220,18474651802.000,18474.651802,0.000,44.00,44.00,44.00,44.00,265.764007,265764.007,197.829559,197829.559,4.787567,4787.567,,,468.381133,468381.133
crc32,57139624548,1393929142332,1451068766880,18474612229.000,18474.612229,0.000,44.00,44.00,44.00,44.00,265.862014,265862.014,197.901473,197901.473,4.786911,4786.911,,,468.550398,468550.398
crc32,57139628636,1451083362080,1508222990716,18474613536.000,18474.613536,0.000,44.00,44.00,44.00,44.00,265.771682,265771.682,197.846771,197846.771,4.787399,4787.399,,,468.405852,468405.852
crc32,57140074312,1508237577504,1565377651816,18474757632.000,18474.757632,0.000,43.00,44.00,44.00,44.00,265.651214,265651.214,197.768188,197768.188,4.787902,4787.902,,,468.207304,468207.304
crc32,57139858532,1565392242492,1622532101024,18474687880.000,18474.687880,0.000,44.00,45.00,44.00,45.00,265.621505,265621.505,197.752334,197752.334,4.788345,4788.345,,,468.162184,468162.184
crc32,57139650300,1622546693752,1679686344052,18474620541.000,18474.620541,0.000,44.00,44.00,44.00,44.00,265.418182,265418.182,197.589889,197589.889,4.788085,4788.085,,,467.796156,467796.156
crc32,57140005676,1679700932592,1736840938268,18474735440.000,18474.735440,0.000,44.00,44.00,44.00,44.00,265.467803,265467.803,197.654724,197654.724,4.788177,4788.177,,,467.910704,467910.704
crc32,57139665008,1736855527808,1793995192816,18474625304.000,18474.625304,0.000,44.00,44.00,44.00,44.00,265.373596,265373.596,197.578994,197578.994,4.788131,4788.131,,,467.740721,467740.721
crc32,57139865184,1794009782436,1851149647620,18474690017.000,18474.690017,0.000,44.00,45.00,44.00,45.00,265.503417,265503.417,197.650268,197650.268,4.787933,4787.933,,,467.941618,467941.618
crc32,57139697408,1851164235664,1908303933072,18474635770.000,18474.635770,0.000,44.00,44.00,44.00,44.00,265.453399,265453.399,197.615646,197615.646,4.787475,4787.475,,,467.856520,467856.520
crc32,57139814060,1908318513292,1965458327352,18474673500.000,18474.673500,0.000,44.00,44.00,44.00,44.00,265.356399,265356.399,197.593261,197593.261,4.787689,4787.689,,,467.737349,467737.349
crc32,57140049116,1965472912104,2022612961220,18474749497.000,18474.749497,0.000,44.00,44.00,44.00,44.00,265.355499,265355.499,197.562088,197562.088,4.788040,4788.040,,,467.705627,467705.627
crc32,57139533284,2022627548600,2079767081884,18474582707.000,18474.582707,0.000,44.00,43.00,44.00,43.00,265.359710,265359.710,197.476654,197476.654,4.787139,4787.139,,,467.623503,467623.503
crc32,57139782256,2079781668588,2136921450844,18474663214.000,18474.663214,0.000,43.00,44.00,43.00,44.00,265.465560,265465.560,197.551101,197551.101,4.787139,4787.139,,,467.803800,467803.800
crc32,57139695552,2136936037712,2194075733264,18474635180.000,18474.635180,0.000,43.00,44.00,43.00,44.00,265.257919,265257.919,197.394424,197394.424,4.786880,4786.880,,,467.439223,467439.223
crc32,57139723864,2194090320372,2251230044236,18474644326.000,18474.644326,0.000,43.00,43.00,43.00,43.00,265.134582,265134.582,197.311431,197311.431,4.786895,4786.895,,,467.232908,467232.908
crc32,57140299012,2251244624028,2308384923040,18474830285.000,18474.830285,0.000,44.00,43.00,44.00,43.00,265.163848,265163.848,197.324310,197324.310,4.786712,4786.712,,,467.274870,467274.870
crc32,57139792164,2308399505228,2365539297392,18474666420.000,18474.666420,0.000,43.00,44.00,43.00,44.00,265.174743,265174.743,197.356414,197356.414,4.786697,4786.697,,,467.317854,467317.854
