benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,52331455651,3321642877347,3373974332998,16919571128.000,16919.571128,0.000,36.00,44.00,36.00,44.00,295.963959,295963.959,237.042038,237042.038,4.432510,4432.510,,,295.963959,295963.959
crc32,52324737767,3373974754326,3426299492093,16917356621.000,16917.356621,0.000,44.00,43.00,44.00,43.00,296.841843,296841.843,237.727585,237727.585,4.430679,4430.679,,,296.841843,296841.843
crc32,52359954676,3426299814868,3478659769544,16928741818.000,16928.741818,0.000,43.00,45.00,43.00,45.00,297.711029,297711.029,238.470261,238470.261,4.425812,4425.812,,,297.711029,297711.029
crc32,52354286391,3478660090565,3531014376956,16926908530.000,16926.908530,0.000,45.00,45.00,45.00,45.00,298.196808,298196.808,238.810944,238810.944,4.429443,4429.443,,,298.196808,298196.808
crc32,52422910043,3531014698036,3583437608079,16949096120.000,16949.096120,0.000,45.00,45.00,45.00,45.00,298.936478,298936.478,239.467896,239467.896,4.429367,4429.367,,,298.936478,298936.478
crc32,52364051984,3583437937822,3635801989806,16930066278.000,16930.066278,0.000,45.00,45.00,45.00,45.00,298.881836,298881.836,239.429092,239429.092,4.428635,4428.635,,,298.881836,298881.836
crc32,52334039225,3635802306561,3688136345786,16920362441.000,16920.362441,0.000,45.00,45.00,45.00,45.00,298.876038,298876.038,239.362411,239362.411,4.431168,4431.168,,,298.876038,298876.038
crc32,52325065977,3688136662110,3740461728087,16917461655.000,16917.461655,0.000,45.00,47.00,45.00,47.00,299.514877,299514.877,239.845322,239845.322,4.432281,4432.281,,,299.514877,299514.877
crc32,52339793693,3740462053549,3792801847242,16922224796.000,16922.224796,0.000,47.00,46.00,47.00,46.00,300.159683,300159.683,240.407562,240407.562,4.431747,4431.747,,,300.159683,300159.683
crc32,52287939087,3792802182529,3845090121616,16905462728.000,16905.462728,0.000,46.00,46.00,46.00,46.00,299.825272,299825.272,240.014893,240014.893,4.431412,4431.412,,,299.825272,299825.272
crc32,52247802451,3845090477921,3897338280372,16892480699.000,16892.480699,0.000,46.00,46.00,46.00,46.00,299.401810,299401.810,239.499146,239499.146,4.431732,4431.732,,,299.401810,299401.810
crc32,52248046914,3897338600056,3949586646970,16892560346.000,16892.560346,0.000,46.00,47.00,46.00,47.00,299.582413,299582.413,239.638626,239638.626,4.432144,4432.144,,,299.582413,299582.413
crc32,52249650875,3949586973302,4001836624177,16893081453.000,16893.081453,0.000,47.00,47.00,47.00,47.00,299.698715,299698.715,239.693039,239693.039,4.431259,4431.259,,,299.698715,299698.715
crc32,52247316049,4001836954702,4054084270751,16892323386.000,16892.323386,0.000,47.00,46.00,47.00,46.00,299.742371,299742.371,239.641846,239641.846,4.431366,4431.366,,,299.742371,299742.371
